Timestamp,Event
Wed Feb 25 00:11:00 2026,Eyes Closed
Wed Feb 25 00:11:00 2026,Eyes Closed
Wed Feb 25 00:11:00 2026,Eyes Closed
Wed Feb 25 00:11:00 2026,Eyes Closed
Wed Feb 25 00:11:01 2026,Eyes Closed
Wed Feb 25 00:11:01 2026,Eyes Closed
Wed Feb 25 00:11:03 2026,Eyes Closed
Wed Feb 25 00:11:03 2026,Eyes Closed
Wed Feb 25 00:11:03 2026,Eyes Closed
Wed Feb 25 00:11:03 2026,Eyes Closed
Wed Feb 25 00:11:03 2026,Eyes Closed
Wed Feb 25 00:11:03 2026,Eyes Closed
Wed Feb 25 00:11:05 2026,Eyes Closed
Wed Feb 25 00:11:05 2026,Eyes Closed
Wed Feb 25 00:11:05 2026,Eyes Closed
Wed Feb 25 00:11:05 2026,Eyes Closed
Wed Feb 25 00:11:07 2026,Eyes Closed
Wed Feb 25 00:11:07 2026,Eyes Closed
Wed Feb 25 00:11:07 2026,Eyes Closed
Wed Feb 25 00:11:07 2026,Eyes Closed
Wed Feb 25 00:11:09 2026,Eyes Closed
Wed Feb 25 00:11:09 2026,Eyes Closed
Wed Feb 25 00:11:09 2026,Eyes Closed
Wed Feb 25 00:11:09 2026,Eyes Closed
Wed Feb 25 00:11:09 2026,Eyes Closed
Wed Feb 25 00:11:09 2026,Eyes Closed
Wed Feb 25 00:11:09 2026,Eyes Closed
Wed Feb 25 00:11:09 2026,Eyes Closed
Wed Feb 25 00:11:09 2026,Eyes Closed
Wed Feb 25 00:11:09 2026,Eyes Closed
Wed Feb 25 00:11:09 2026,Eyes Closed
Wed Feb 25 00:11:09 2026,Eyes Closed
Wed Feb 25 00:11:09 2026,Eyes Closed
Wed Feb 25 00:11:09 2026,Eyes Closed
Wed Feb 25 00:11:09 2026,Eyes Closed
Wed Feb 25 00:11:09 2026,Eyes Closed
Wed Feb 25 00:11:09 2026,Eyes Closed
Wed Feb 25 00:11:09 2026,Eyes Closed
Wed Feb 25 00:11:09 2026,Eyes Closed
Wed Feb 25 00:11:09 2026,Eyes Closed
Wed Feb 25 00:11:09 2026,Eyes Closed
Wed Feb 25 00:11:09 2026,Eyes Closed
Wed Feb 25 00:11:10 2026,Eyes Closed
Wed Feb 25 00:11:10 2026,Eyes Closed
Wed Feb 25 00:11:10 2026,Eyes Closed
Wed Feb 25 00:11:10 2026,Eyes Closed
Wed Feb 25 00:11:10 2026,Eyes Closed
Wed Feb 25 00:11:10 2026,Eyes Closed
